Variable,Tipus_Dada
Exercicis Sessió 2_S'han mostrat l'intent del qüestionari,int64
Exercicis Sessió 3_Mòdul de curs vist,int64
Exercicis Sessió 3_Quiz attempt auto-saved,int64
Exercicis Sessió 3_Quiz attempt question restarted,int64
Exercicis Sessió 3_Quiz attempt updated,int64
Exercicis Sessió 3_S'ha començat l'intent del qüestionari,int64
Exercicis Sessió 3_S'ha mostrat el resum de l'intent del qüestionari,int64
Exercicis Sessió 3_S'ha revisat l'intent del qüestionari,int64
Exercicis Sessió 3_S'ha tramès l'intent del qüestionari,int64
Exercicis Sessió 3_S'han mostrat l'intent del qüestionari,int64
Exercicis Sessió 4_Mòdul de curs vist,int64
Exercicis Sessió 4_Quiz attempt auto-saved,int64
Exercicis Sessió 4_Quiz attempt question restarted,int64
Exercicis Sessió 4_Quiz attempt updated,int64
Exercicis Sessió 4_S'ha començat l'intent del qüestionari,int64
Exercicis Sessió 4_S'ha mostrat el resum de l'intent del qüestionari,int64
Exercicis Sessió 4_S'ha revisat l'intent del qüestionari,int64
Exercicis Sessió 4_S'ha tramès l'intent del qüestionari,int64
Exercicis Sessió 4_S'han mostrat l'intent del qüestionari,int64
Exercicis Sessió 7_Mòdul de curs vist,int64
Exercicis Sessió 7_Quiz attempt auto-saved,int64
Exercicis Sessió 7_Quiz attempt question restarted,int64
Exercicis Sessió 7_Quiz attempt updated,int64
Exercicis Sessió 7_S'ha començat l'intent del qüestionari,int64
Exercicis Sessió 7_S'ha mostrat el resum de l'intent del qüestionari,int64
Exercicis Sessió 7_S'ha revisat l'intent del qüestionari,int64
Exercicis Sessió 7_S'ha tramès l'intent del qüestionari,int64
Exercicis Sessió 7_S'han mostrat l'intent del qüestionari,int64
Exercicis Sessió 9_Mòdul de curs vist,int64
Exercicis Sessió 9_Quiz attempt auto-saved,int64
Exercicis Sessió 9_Quiz attempt question restarted,int64
Exercicis Sessió 9_Quiz attempt updated,int64
Exercicis Sessió 9_S'ha començat l'intent del qüestionari,int64
Exercicis Sessió 9_S'ha mostrat el resum de l'intent del qüestionari,int64
Exercicis Sessió 9_S'ha revisat l'intent del qüestionari,int64
Exercicis Sessió 9_S'ha tramès l'intent del qüestionari,int64
Exercicis Sessió 9_S'han mostrat l'intent del qüestionari,int64
Exercises: B1 Damped/Forced Osc_Mòdul de curs vist,int64
Exercises: B1 Undamped Osc_Mòdul de curs vist,int64
Exercises: B2 Waves Basics_Mòdul de curs vist,int64
Exercises: B2 Waves Interf_Mòdul de curs vist,int64
Exercises: B3 Circuits_Mòdul de curs vist,int64
Exercises: B3 Electrostatics_Mòdul de curs vist,int64
Exercises: B4 Induction_Mòdul de curs vist,int64
Exercises: B4 Magnetostatics_Mòdul de curs vist,int64
File: P1 Material_Mòdul de curs vist,int64
File: P1 Solution_Mòdul de curs vist,int64
File: P2 Material_Mòdul de curs vist,int64
File: P3 Material_Mòdul de curs vist,int64
File: P4 Material_Mòdul de curs vist,int64
File: P4 Solution_Mòdul de curs vist,int64
File: P5 Material_Mòdul de curs vist,int64
File: P6 Material_Mòdul de curs vist,int64
File: P7 Material_Mòdul de curs vist,int64
File: Seminar 1_Mòdul de curs vist,int64
File: Seminar 2_Mòdul de curs vist,int64
File: Seminar 3_Mòdul de curs vist,int64
File: Seminar 4_Mòdul de curs vist,int64
File: Seminar 5_Mòdul de curs vist,int64
File: Seminar 6_Mòdul de curs vist,int64
File: Topic 0 Review_Mòdul de curs vist,int64
Fitxer: Presentació del curs_Mòdul de curs vist,int64
Formula Sheet_Mòdul de curs vist,int64
Fòrums_Mòdul de curs vist,int64
Fòrums_S'ha mostrat el debat,int64
Group Choice: Alt Assessment_Mòdul de curs vist,int64
Group Choice: Alt Assessment_S'ha creat l'elecció,int64
Group Choice: Alt Assessment_S'ha esborrat l'elecció,int64
Other_Mòdul de curs vist,int64
Other_S'ha visualitzat l'estat de la tasca.,int64
Pla d'Aprenentatge_Llibre imprès,int64
Pla d'Aprenentatge_Mòdul de curs vist,int64
Pla d'Aprenentatge_S'ha visualitzat el capítol.,int64
Quiz: Review Block 1_Mòdul de curs vist,int64
Quiz: Review Block 1_Quiz attempt auto-saved,int64
Quiz: Review Block 1_Quiz attempt updated,int64
Quiz: Review Block 1_S'ha començat l'intent del qüestionari,int64
Quiz: Review Block 1_S'ha mostrat el resum de l'intent del qüestionari,int64
Quiz: Review Block 1_S'ha revisat l'intent del qüestionari,int64
Quiz: Review Block 1_S'ha tramès l'intent del qüestionari,int64
Quiz: Review Block 1_S'han mostrat l'intent del qüestionari,int64
Quiz: Review Block 2_Mòdul de curs vist,int64
Quiz: Review Block 2_Quiz attempt auto-saved,int64
Quiz: Review Block 2_Quiz attempt updated,int64
Quiz: Review Block 2_S'ha començat l'intent del qüestionari,int64
Quiz: Review Block 2_S'ha mostrat el resum de l'intent del qüestionari,int64
Quiz: Review Block 2_S'ha revisat l'intent del qüestionari,int64
Quiz: Review Block 2_S'ha tramès l'intent del qüestionari,int64
Quiz: Review Block 2_S'han mostrat l'intent del qüestionari,int64
Quiz: Review Block 3_Mòdul de curs vist,int64
Quiz: Review Block 3_Quiz attempt auto-saved,int64
Quiz: Review Block 3_Quiz attempt updated,int64
Quiz: Review Block 3_S'ha començat l'intent del qüestionari,int64
Quiz: Review Block 3_S'ha mostrat el resum de l'intent del qüestionari,int64
Quiz: Review Block 3_S'ha revisat l'intent del qüestionari,int64
Quiz: Review Block 3_S'ha tramès l'intent del qüestionari,int64
Quiz: Review Block 3_S'han mostrat l'intent del qüestionari,int64
Quiz: Review Block 4_Mòdul de curs vist,int64
Quiz: Review Block 4_Quiz attempt auto-saved,int64
Quiz: Review Block 4_Quiz attempt updated,int64
Quiz: Review Block 4_S'ha començat l'intent del qüestionari,int64
Quiz: Review Block 4_S'ha mostrat el resum de l'intent del qüestionari,int64
Quiz: Review Block 4_S'ha revisat l'intent del qüestionari,int64
Quiz: Review Block 4_S'ha tramès l'intent del qüestionari,int64
Quiz: Review Block 4_S'han mostrat l'intent del qüestionari,int64
Quiz: Seminar 1 (Practice)_Mòdul de curs vist,int64
Quiz: Seminar 1 (Practice)_Quiz attempt auto-saved,int64
Quiz: Seminar 1 (Practice)_Quiz attempt updated,int64
Quiz: Seminar 1 (Practice)_S'ha començat l'intent del qüestionari,int64
Quiz: Seminar 1 (Practice)_S'ha mostrat el resum de l'intent del qüestionari,int64
Quiz: Seminar 1 (Practice)_S'ha revisat l'intent del qüestionari,int64
Quiz: Seminar 1 (Practice)_S'ha tramès l'intent del qüestionari,int64
Quiz: Seminar 1 (Practice)_S'han mostrat l'intent del qüestionari,int64
Quiz: Seminar 5 (All)_Mòdul de curs vist,int64
Quiz: Seminar 5 (All)_Quiz attempt auto-saved,int64
Quiz: Seminar 5 (All)_Quiz attempt updated,int64
Quiz: Seminar 5 (All)_S'ha començat l'intent del qüestionari,int64
Quiz: Seminar 5 (All)_S'ha mostrat el resum de l'intent del qüestionari,int64
Quiz: Seminar 5 (All)_S'ha revisat l'intent del qüestionari,int64
Quiz: Seminar 5 (All)_S'ha tramès l'intent del qüestionari,int64
Quiz: Seminar 5 (All)_S'han mostrat l'intent del qüestionari,int64
Quiz: Seminar 6 (All)_Mòdul de curs vist,int64
Quiz: Seminar 6 (All)_Quiz attempt auto-saved,int64
Quiz: Seminar 6 (All)_Quiz attempt updated,int64
Quiz: Seminar 6 (All)_S'ha començat l'intent del qüestionari,int64
Quiz: Seminar 6 (All)_S'ha mostrat el resum de l'intent del qüestionari,int64
Quiz: Seminar 6 (All)_S'ha revisat l'intent del qüestionari,int64
Quiz: Seminar 6 (All)_S'ha tramès l'intent del qüestionari,int64
Quiz: Seminar 6 (All)_S'han mostrat l'intent del qüestionari,int64
Quiz: Topic 0 Self-Eval_Mòdul de curs vist,int64
Quiz: Topic 0 Self-Eval_Quiz attempt auto-saved,int64
Quiz: Topic 0 Self-Eval_Quiz attempt updated,int64
Quiz: Topic 0 Self-Eval_S'ha començat l'intent del qüestionari,int64
Quiz: Topic 0 Self-Eval_S'ha mostrat el resum de l'intent del qüestionari,int64
Quiz: Topic 0 Self-Eval_S'ha revisat l'intent del qüestionari,int64
Quiz: Topic 0 Self-Eval_S'ha tramès l'intent del qüestionari,int64
Quiz: Topic 0 Self-Eval_S'han mostrat l'intent del qüestionari,int64
Qüesitonari P1_Mòdul de curs vist,int64
Qüesitonari P1_Quiz attempt auto-saved,int64
Qüesitonari P1_Quiz attempt updated,int64
Qüesitonari P1_S'ha començat l'intent del qüestionari,int64
Qüesitonari P1_S'ha mostrat el resum de l'intent del qüestionari,int64
Qüesitonari P1_S'ha revisat l'intent del qüestionari,int64
Qüesitonari P1_S'ha tramès l'intent del qüestionari,int64
Qüesitonari P1_S'han mostrat l'intent del qüestionari,int64
Qüesitonari P2_Mòdul de curs vist,int64
Qüesitonari P2_Quiz attempt auto-saved,int64
Qüesitonari P2_Quiz attempt updated,int64
Qüesitonari P2_S'ha començat l'intent del qüestionari,int64
Qüesitonari P2_S'ha mostrat el resum de l'intent del qüestionari,int64
Qüesitonari P2_S'ha revisat l'intent del qüestionari,int64
Qüesitonari P2_S'ha tramès l'intent del qüestionari,int64
Qüesitonari P2_S'han mostrat l'intent del qüestionari,int64
Qüesitonari P3_Mòdul de curs vist,int64
Qüesitonari P3_Quiz attempt auto-saved,int64
Qüesitonari P3_Quiz attempt updated,int64
Qüesitonari P3_S'ha començat l'intent del qüestionari,int64
Qüesitonari P3_S'ha mostrat el resum de l'intent del qüestionari,int64
Qüesitonari P3_S'ha revisat l'intent del qüestionari,int64
Qüesitonari P3_S'ha tramès l'intent del qüestionari,int64
Qüesitonari P3_S'han mostrat l'intent del qüestionari,int64
Qüesitonari P4_Mòdul de curs vist,int64
Qüesitonari P4_Quiz attempt auto-saved,int64
Qüesitonari P4_Quiz attempt updated,int64
Qüesitonari P4_S'ha començat l'intent del qüestionari,int64
Qüesitonari P4_S'ha mostrat el resum de l'intent del qüestionari,int64
Qüesitonari P4_S'ha revisat l'intent del qüestionari,int64
Qüesitonari P4_S'ha tramès l'intent del qüestionari,int64
Qüesitonari P4_S'han mostrat l'intent del qüestionari,int64
Qüesitonari P5_Mòdul de curs vist,int64
Qüesitonari P5_Quiz attempt auto-saved,int64
Qüesitonari P5_Quiz attempt updated,int64
Qüesitonari P5_S'ha començat l'intent del qüestionari,int64
Qüesitonari P5_S'ha mostrat el resum de l'intent del qüestionari,int64
Qüesitonari P5_S'ha revisat l'intent del qüestionari,int64
Qüesitonari P5_S'ha tramès l'intent del qüestionari,int64
Qüesitonari P5_S'han mostrat l'intent del qüestionari,int64
Qüesitonari P6_Mòdul de curs vist,int64
Qüesitonari P6_Quiz attempt auto-saved,int64
Qüesitonari P6_Quiz attempt updated,int64
Qüesitonari P6_S'ha començat l'intent del qüestionari,int64
Qüesitonari P6_S'ha mostrat el resum de l'intent del qüestionari,int64
Qüesitonari P6_S'ha revisat l'intent del qüestionari,int64
Qüesitonari P6_S'ha tramès l'intent del qüestionari,int64
Qüesitonari P6_S'han mostrat l'intent del qüestionari,int64
Qüesitonari P7_Mòdul de curs vist,int64
Qüesitonari P7_Quiz attempt auto-saved,int64
Qüesitonari P7_Quiz attempt updated,int64
Qüesitonari P7_S'ha començat l'intent del qüestionari,int64
Qüesitonari P7_S'ha mostrat el resum de l'intent del qüestionari,int64
Qüesitonari P7_S'ha revisat l'intent del qüestionari,int64
Qüesitonari P7_S'ha tramès l'intent del qüestionari,int64
Qüesitonari P7_S'han mostrat l'intent del qüestionari,int64
Qüestionari S1_Mòdul de curs vist,int64
Qüestionari S1_Quiz attempt auto-saved,int64
Qüestionari S1_Quiz attempt updated,int64
Qüestionari S1_S'ha començat l'intent del qüestionari,int64
Qüestionari S1_S'ha mostrat el resum de l'intent del qüestionari,int64
Qüestionari S1_S'ha revisat l'intent del qüestionari,int64
Qüestionari S1_S'ha tramès l'intent del qüestionari,int64
Qüestionari S1_S'han mostrat l'intent del qüestionari,int64
Qüestionari S2_Mòdul de curs vist,int64
Qüestionari S2_Quiz attempt auto-saved,int64
Qüestionari S2_Quiz attempt updated,int64
Qüestionari S2_S'ha començat l'intent del qüestionari,int64
Qüestionari S2_S'ha mostrat el resum de l'intent del qüestionari,int64
Qüestionari S2_S'ha revisat l'intent del qüestionari,int64
Qüestionari S2_S'ha tramès l'intent del qüestionari,int64
Qüestionari S2_S'han mostrat l'intent del qüestionari,int64
Qüestionari S3_Mòdul de curs vist,int64
Qüestionari S3_Quiz attempt auto-saved,int64
Qüestionari S3_Quiz attempt updated,int64
Qüestionari S3_S'ha començat l'intent del qüestionari,int64
Qüestionari S3_S'ha mostrat el resum de l'intent del qüestionari,int64
Qüestionari S3_S'ha revisat l'intent del qüestionari,int64
Qüestionari S3_S'ha tramès l'intent del qüestionari,int64
Qüestionari S3_S'han mostrat l'intent del qüestionari,int64
Qüestionari S4_Mòdul de curs vist,int64
Qüestionari S4_Quiz attempt auto-saved,int64
Qüestionari S4_Quiz attempt updated,int64
Qüestionari S4_S'ha començat l'intent del qüestionari,int64
Qüestionari S4_S'ha mostrat el resum de l'intent del qüestionari,int64
Qüestionari S4_S'ha revisat l'intent del qüestionari,int64
Qüestionari S4_S'ha tramès l'intent del qüestionari,int64
Qüestionari S4_S'han mostrat l'intent del qüestionari,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 5_Mòdul de curs vist,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 5_Quiz attempt auto-saved,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 5_Quiz attempt updated,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 5_S'ha començat l'intent del qüestionari,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 5_S'ha mostrat el resum de l'intent del qüestionari,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 5_S'ha revisat l'intent del qüestionari,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 5_S'ha tramès l'intent del qüestionari,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 5_S'han mostrat l'intent del qüestionari,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 8_Mòdul de curs vist,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 8_Quiz attempt auto-saved,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 8_Quiz attempt updated,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 8_S'ha començat l'intent del qüestionari,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 8_S'ha mostrat el resum de l'intent del qüestionari,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 8_S'ha revisat l'intent del qüestionari,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 8_S'ha tramès l'intent del qüestionari,int64
Qüestionari d'avaluació: Qüestionari - Preparació prèvia Tema 8_S'han mostrat l'intent del qüestionari,int64
Session Schedule_Mòdul de curs vist,int64
Sim: 2 Vibs In Phase_Mòdul de curs vist,int64
Sim: 2 Vibs Opposite Phase_Mòdul de curs vist,int64
Sim: 2 Vibs Quadrature_Mòdul de curs vist,int64
Sim: Superpos Waves In Phase_Mòdul de curs vist,int64
Sim: Superpos Waves Opposite_Mòdul de curs vist,int64
Task: P1 Delivery_Comentari creat,int64
Task: P1 Delivery_Mòdul de curs vist,int64
Task: P1 Delivery_S'ha actualitzat l'estat de la tramesa.,int64
Task: P1 Delivery_S'ha actualitzat la tasca.,int64
Task: P1 Delivery_S'ha creat la tramesa.,int64
Task: P1 Delivery_S'ha pujat un fitxer.,int64
Task: P1 Delivery_S'ha tramès una tramesa.,int64
Task: P1 Delivery_S'ha visualitzat Open Grader,int64
Task: P1 Delivery_S'ha visualitzat el formulari de tramesa.,int64
Task: P1 Delivery_S'ha visualitzat l'estat de la tasca.,int64
Task: P1 Delivery_S'ha visualitzat la confirmació de la supressió de la tramesa.,int64
Task: P1 Delivery_S'ha visualitzat la retroacció,int64
Task: P1 Delivery_Submission removed.,int64
Task: P4 Delivery_Mòdul de curs vist,int64
Task: P4 Delivery_S'ha actualitzat l'estat de la tramesa.,int64
Task: P4 Delivery_S'ha actualitzat la tasca.,int64
Task: P4 Delivery_S'ha creat la tramesa.,int64
Task: P4 Delivery_S'ha pujat un fitxer.,int64
Task: P4 Delivery_S'ha tramès una tramesa.,int64
Task: P4 Delivery_S'ha visualitzat Open Grader,int64
Task: P4 Delivery_S'ha visualitzat el formulari de tramesa.,int64
Task: P4 Delivery_S'ha visualitzat l'estat de la tasca.,int64
Task: P4 Delivery_S'ha visualitzat la confirmació de la supressió de la tramesa.,int64
Task: P4 Delivery_S'ha visualitzat la retroacció,int64
Task: P4 Delivery_Submission removed.,int64
Teoria Sessió 10_Mòdul de curs vist,int64
Teoria Sessió 11_Mòdul de curs vist,int64
Teoria Sessió 12_Mòdul de curs vist,int64
Teoria Sessió 13_Mòdul de curs vist,int64
Teoria Sessió 14_Mòdul de curs vist,int64
Teoria Sessió 1_Mòdul de curs vist,int64
Teoria Sessió 2_Mòdul de curs vist,int64
Teoria Sessió 3_Mòdul de curs vist,int64
Teoria Sessió 4_Mòdul de curs vist,int64
Teoria Sessió 5_Mòdul de curs vist,int64
Teoria Sessió 6_Mòdul de curs vist,int64
Teoria Sessió 7_Mòdul de curs vist,int64
Teoria Sessió 8_Mòdul de curs vist,int64
Teoria Sessió 9_Mòdul de curs vist,int64
URL: AC Generator_Mòdul de curs vist,int64
URL: Oscil·lacions en circuits LC_Mòdul de curs vist,int64
"URL: Resistència, Reactància i Impedància: què són?_Mòdul de curs vist",int64
URL: Working Principle of AC generator_Mòdul de curs vist,int64
User Guide_Mòdul de curs vist,int64
target,int64
total_examen,float64
